player_name,player_team,supercoach_position_1,supercoach_position_2
Ben Henshall,Perth Wildcats,FWD,GRD
David Okwera,Perth Wildcats,FWD,
Keanu Pinder,Perth Wildcats,FWD,CTR
Dontae Russo-Nance,Perth Wildcats,GRD,
Alexandre Sarr,Perth Wildcats,FWD,CTR
Jordan Usher,Perth Wildcats,FWD,
Jesse Wagstaff,Perth Wildcats,FWD,
Corey Webster,Perth Wildcats,GRD,
Tai Webster,Perth Wildcats,GRD,
Kyle Zunic,Perth Wildcats,GRD,
Ben Ayre,South East Melbourne Phoenix,GRD,
Gary Browne,South East Melbourne Phoenix,GRD,
Mitchell Creek,South East Melbourne Phoenix,FWD,
Will Cummings,South East Melbourne Phoenix,GRD,
Owen Foxwell,South East Melbourne Phoenix,GRD,
Gorjok Gak,South East Melbourne Phoenix,CTR,FWD
Matt Kenyon,South East Melbourne Phoenix,GRD,
Craig Moller,South East Melbourne Phoenix,FWD,
Austin Rapp,South East Melbourne Phoenix,GRD,
Anzac Rissetto,South East Melbourne Phoenix,CTR,
Luke Rosendale,South East Melbourne Phoenix,GRD,
Kody Stattmann,South East Melbourne Phoenix,GRD,
Reuben Te Rangi,South East Melbourne Phoenix,GRD,FWD
Rhys Vague,South East Melbourne Phoenix,FWD,
Alan Williams,South East Melbourne Phoenix,CTR,
Jaylen Adams,Sydney Kings,GRD,
Klairus Amir,Sydney Kings,GRD,FWD
Jonah Bolden,Sydney Kings,FWD,CTR
Shaun Bruce,Sydney Kings,GRD,
Jaylin Galloway,Sydney Kings,FWD,
Angus Glover,Sydney Kings,GRD,
DJ Hogg,Sydney Kings,FWD,
Jordan Hunter,Sydney Kings,CTR,
Jackson Makoi,Sydney Kings,GRD,
Makuach Maluach,Sydney Kings,FWD,
Kouat Noi,Sydney Kings,FWD,
Sam Timmins,Sydney Kings,CTR,
Alex Toohey,Sydney Kings,FWD,
Denzel Valentine,Sydney Kings,GRD,FWD
Dejan *** Vasiljevic,Sydney Kings,GRD,
Jarred Bairstow,Tasmania JackJumpers,FWD,
Lachlan Barker,Tasmania JackJumpers,GRD,
Walter Brown,Tasmania JackJumpers,FWD,
Jordon Crawford,Tasmania JackJumpers,GRD,
Majok Deng,Tasmania JackJumpers,FWD,
Milton Doyle,Tasmania JackJumpers,GRD,
Anthony Drmic,Tasmania JackJumpers,FWD,GRD
Fabijan Krslovic,Tasmania JackJumpers,FWD,
Marcus Lee,Tasmania JackJumpers,CTR,
Sean Macdonald,Tasmania JackJumpers,GRD,
Junior Madut,Tasmania JackJumpers,GRD,FWD
Will Magnay,Tasmania JackJumpers,CTR,FWD
Majok Majok,Tasmania JackJumpers,CTR,FWD
Jack McVeigh,Tasmania JackJumpers,GRD,FWD
Jacob Richards,Tasmania JackJumpers,FWD,
Clint Steindl,Tasmania JackJumpers,FWD,GRD
Trentyn Flowers,Adelaide 36ers,GRD,
Tyler Cook,South East Melbourne Phoenix,CTR,FWD
Max Darling,New Zealand Breakers,FWD,
Carlin Davison,New Zealand Breakers,FWD,GRD
Zac Gattorna,Sydney Kings,FWD,
Dominique Kelman-Poto,New Zealand Breakers,FWD,
Jacob Rigoni,Adelaide 36ers,FWD,
Tohi Smith-Milner,Adelaide 36ers,FWD,
Kristian Doolittle,Perth Wildcats,FWD,
