match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
New Zealand Breakers v Tasmania JackJumpers,2025-12-06T06:30:00Z,Head To Head,New Zealand Breakers,1.74,Tasmania JackJumpers,2.05,1.063,BetRight
Illawarra Hawks v Cairns Taipans,2025-12-06T09:00:00Z,Head To Head,Illawarra Hawks,1.15,Cairns Taipans,5,1.07,BetRight
South East Melbourne Phoenix v Melbourne United,2025-12-07T03:30:00Z,Head To Head,South East Melbourne Phoenix,2.35,Melbourne United,1.56,1.067,BetRight
Perth Wildcats v Adelaide 36ers,2025-12-07T05:30:00Z,Head To Head,Perth Wildcats,1.8,Adelaide 36ers,1.96,1.066,BetRight
