match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Adelaide 36ers v Brisbane Bullets,2025-12-05T08:30:00.0000000Z,Head To Head,Adelaide 36ers,1.24,Brisbane Bullets,3.95,1.06,Betr
New Zealand Breakers v Tasmania JackJumpers,2025-12-06T06:30:00.0000000Z,Head To Head,New Zealand Breakers,1.76,Tasmania JackJumpers,2.05,1.056,Betr
Illawarra Hawks v Cairns Taipans,2025-12-06T09:00:00.0000000Z,Head To Head,Illawarra Hawks,1.31,Cairns Taipans,3.35,1.062,Betr
South East Melbourne Phoenix v Melbourne United,2025-12-07T03:30:00.0000000Z,Head To Head,South East Melbourne Phoenix,2.3,Melbourne United,1.59,1.064,Betr
