match,market_name,home_team,home_win,away_team,away_win,margin,agency
Brisbane Bullets v Adelaide 36ers,Head To Head,Brisbane Bullets,1.3,Adelaide 36ers,3.5,1.055,Dabble
Perth Wildcats v Illawarra Hawks,Head To Head,Perth Wildcats,1.85,Illawarra Hawks,1.98,1.046,Dabble
New Zealand Breakers v Sydney Kings,Head To Head,New Zealand Breakers,2.45,Sydney Kings,1.55,1.053,Dabble
South East Melbourne Phoenix v Cairns Taipans,Head To Head,South East Melbourne Phoenix,1.4,Cairns Taipans,2.95,1.053,Dabble
