match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Tasmania JackJumpers v New Zealand Breakers,Tasmania JackJumpers,New Zealand Breakers,Izaiah Brockington,New Zealand Breakers,Tasmania JackJumpers,Player Assists,3,1.79,1.79,Dabble Pickem
Tasmania JackJumpers v New Zealand Breakers,Tasmania JackJumpers,New Zealand Breakers,David Johnson,Tasmania JackJumpers,New Zealand Breakers,Player Assists,2,1.79,1.79,Dabble Pickem
Tasmania JackJumpers v New Zealand Breakers,Tasmania JackJumpers,New Zealand Breakers,Parker Jackson-Cartwright,New Zealand Breakers,Tasmania JackJumpers,Player Assists,7,1.79,1.79,Dabble Pickem
Tasmania JackJumpers v New Zealand Breakers,Tasmania JackJumpers,New Zealand Breakers,Bryce Hamilton,Tasmania JackJumpers,New Zealand Breakers,Player Assists,4,1.79,1.79,Dabble Pickem
Tasmania JackJumpers v New Zealand Breakers,Tasmania JackJumpers,New Zealand Breakers,Samuel Mennenga,NA,NA,Player Assists,2.5,1.79,1.79,Dabble Pickem
Tasmania JackJumpers v New Zealand Breakers,Tasmania JackJumpers,New Zealand Breakers,Josh Bannan,Tasmania JackJumpers,New Zealand Breakers,Player Assists,2,1.79,1.79,Dabble Pickem
Tasmania JackJumpers v New Zealand Breakers,Tasmania JackJumpers,New Zealand Breakers,Tyger Campbell,Tasmania JackJumpers,New Zealand Breakers,Player Assists,3,1.79,1.79,Dabble Pickem
