match,market_name,home_team,home_win,away_team,away_win,margin,agency
Tasmania JackJumpers v South East Melbourne Phoenix,Head To Head,Tasmania JackJumpers,1.52,South East Melbourne Phoenix,2.53,1.053,Sportsbet
Perth Wildcats v Illawarra Hawks,Head To Head,Perth Wildcats,2.18,Illawarra Hawks,1.69,1.05,Sportsbet
New Zealand Breakers v Adelaide 36ers,Head To Head,New Zealand Breakers,2.38,Adelaide 36ers,1.59,1.049,Sportsbet
Cairns Taipans v Brisbane Bullets,Head To Head,Cairns Taipans,2.07,Brisbane Bullets,1.76,1.051,Sportsbet
South East Melbourne Phoenix v Perth Wildcats,Head To Head,South East Melbourne Phoenix,1.89,Perth Wildcats,1.91,1.053,Sportsbet
Sydney Kings v Tasmania JackJumpers,Head To Head,Sydney Kings,1.46,Tasmania JackJumpers,2.72,1.053,Sportsbet
Melbourne United v New Zealand Breakers,Head To Head,Melbourne United,1.43,New Zealand Breakers,2.85,1.05,Sportsbet
