match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Jack White,Melbourne United,24.5,12,NA,Pointsbet,Illawarra Hawks,2094978,78375465,1008,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Darius Days,Illawarra Hawks,24.5,13,NA,Pointsbet,Melbourne United,2094978,78375465,1001,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Shea Ili,Melbourne United,24.5,13,NA,Pointsbet,Illawarra Hawks,2094978,78375465,1007,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Matthew Dellavedova,Melbourne United,24.5,19,NA,Pointsbet,Illawarra Hawks,2094978,78375465,1005,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Chris Goulding,Melbourne United,29.5,8,NA,Pointsbet,Illawarra Hawks,2094978,78375466,1006,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Trey Kell,Illawarra Hawks,29.5,9.5,NA,Pointsbet,Melbourne United,2094978,78375466,1004,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyler Harvey,Illawarra Hawks,29.5,10,NA,Pointsbet,Melbourne United,2094978,78375466,1003,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Sam Froling,Illawarra Hawks,29.5,17,NA,Pointsbet,Melbourne United,2094978,78375466,1002,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Darius Days,Illawarra Hawks,29.5,19,NA,Pointsbet,Melbourne United,2094978,78375466,1001,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Jack White,Melbourne United,29.5,19,NA,Pointsbet,Illawarra Hawks,2094978,78375466,1008,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Matthew Dellavedova,Melbourne United,29.5,21,NA,Pointsbet,Illawarra Hawks,2094978,78375466,1005,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Shea Ili,Melbourne United,29.5,21,NA,Pointsbet,Illawarra Hawks,2094978,78375466,1007,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Chris Goulding,Melbourne United,34.5,15,NA,Pointsbet,Illawarra Hawks,2094978,78375467,1004,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyler Harvey,Illawarra Hawks,34.5,17,NA,Pointsbet,Melbourne United,2094978,78375467,1002,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Trey Kell,Illawarra Hawks,34.5,17,NA,Pointsbet,Melbourne United,2094978,78375467,1003,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Sam Froling,Illawarra Hawks,34.5,21,NA,Pointsbet,Melbourne United,2094978,78375467,1001,NA
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Chris Goulding,Melbourne United,19.5,1.9091,1.8001,Pointsbet,Illawarra Hawks,2094978,78375509,1009,1010
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Darius Days,Illawarra Hawks,13.5,1.9091,1.834,Pointsbet,Melbourne United,2094978,78375509,1051,1052
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Jack White,Melbourne United,13.5,1.834,1.9091,Pointsbet,Illawarra Hawks,2094978,78375509,1053,1054
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Matthew Dellavedova,Melbourne United,10.5,1.8001,1.9524,Pointsbet,Illawarra Hawks,2094978,78375509,1075,1076
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Sam Froling,Illawarra Hawks,15.5,1.834,1.9091,Pointsbet,Melbourne United,2094978,78375509,1039,1040
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Shea Ili,Melbourne United,13.5,1.9524,1.8001,Pointsbet,Illawarra Hawks,2094978,78375509,1057,1058
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Trey Kell,Illawarra Hawks,18.5,1.8696,1.834,Pointsbet,Melbourne United,2094978,78375509,1017,1018
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,Player Points,Tyler Harvey,Illawarra Hawks,18.5,1.9091,1.834,Pointsbet,Melbourne United,2094978,78375509,1019,1020
