match,home_team,away_team,start_time,market_name,total_points_line,under_price,over_price,margin,agency
Illawarra Hawks v Melbourne United,Illawarra Hawks,Melbourne United,2023-10-20T08:30:00Z,Total Score,172.5,1.93,1.87,1.053,Palmerbet
South East Melbourne Phoenix v Brisbane Bullets,South East Melbourne Phoenix,Brisbane Bullets,2023-10-21T06:30:00Z,Total Score,182.5,1.93,1.87,1.053,Palmerbet
Adelaide 36ers v Perth Wildcats,Adelaide 36ers,Perth Wildcats,2023-10-21T09:00:00Z,Total Score,183.5,1.93,1.87,1.053,Palmerbet
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,2023-10-22T05:00:00Z,Total Score,176.5,1.93,1.87,1.053,Palmerbet
