match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
<<<<<<< HEAD
Adelaide 36ers v South East Melbourne Phoenix,2023-10-19T08:30:00.000Z,Head To Head,Adelaide 36ers,2.3,South East Melbourne Phoenix,1.62,1.052,TAB
Illawarra Hawks v Melbourne United,2023-10-20T08:30:00.000Z,Head To Head,Illawarra Hawks,3.15,Melbourne United,1.35,1.058,TAB
Sydney Kings v Tasmania JackJumpers,2023-10-22T05:00:00.000Z,Head To Head,Sydney Kings,1.53,Tasmania JackJumpers,2.45,1.062,TAB
=======
Brisbane Bullets v Sydney Kings,2023-10-13T08:37:00.000Z,Head To Head,Brisbane Bullets,26,Sydney Kings,1.01,1.029,TAB
Perth Wildcats v Melbourne United,2023-10-13T10:37:00.000Z,Head To Head,Perth Wildcats,1.62,Melbourne United,2.3,1.052,TAB
Adelaide 36ers v Illawarra Hawks,2023-10-14T06:30:00.000Z,Head To Head,Adelaide 36ers,1.77,Illawarra Hawks,2.05,1.053,TAB
South East Melbourne Phoenix v Tasmania JackJumpers,2023-10-14T09:00:00.000Z,Head To Head,South East Melbourne Phoenix,2.4,Tasmania JackJumpers,1.55,1.062,TAB
>>>>>>> 82b43fa5daad4adce78a5a6b9c0d783c4066337c
