match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,NA,11.5,17,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,William McDowell White,NA,NA,11.5,16,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,William McDowell White,NA,NA,9.5,6.4,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,NA,9.5,7,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Jaylen Adams,Sydney Kings,NA,9.5,13,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Denzel Valentine,Sydney Kings,NA,9.5,17,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Alan Williams,South East Melbourne Phoenix,Cairns Taipans,3.5,2.2,1.55,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Gary Browne,South East Melbourne Phoenix,Cairns Taipans,3.5,1.2,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,South East Melbourne Phoenix,3.5,1.46,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Gary Browne,South East Melbourne Phoenix,Cairns Taipans,11.5,23,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,William McDowell White,NA,NA,5.5,1.8,1.94,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Alan Williams,South East Melbourne Phoenix,Cairns Taipans,3.5,2.4,1.55,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,South East Melbourne Phoenix,7.5,6.6,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Gary Browne,South East Melbourne Phoenix,Cairns Taipans,7.5,3.8,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Alan Williams,South East Melbourne Phoenix,Cairns Taipans,7.5,21,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,William McDowell White,NA,NA,3.5,1.13,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Denzel Valentine,Sydney Kings,NA,3.5,1.44,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,NA,3.5,1.15,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Jaylen Adams,Sydney Kings,NA,3.5,1.33,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,NA,5.5,1.87,1.87,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Alan Williams,South East Melbourne Phoenix,Cairns Taipans,5.5,6,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Gary Browne,South East Melbourne Phoenix,Cairns Taipans,5.5,1.94,1.7,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,South East Melbourne Phoenix,5.5,2.8,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Denzel Valentine,Sydney Kings,NA,4.5,2.05,1.72,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,William McDowell White,NA,NA,5.5,1.6800000000000002,1.94,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Denzel Valentine,Sydney Kings,NA,5.5,2.65,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Jaylen Adams,Sydney Kings,NA,5.5,2.35,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,NA,5.5,1.73,1.87,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,William McDowell White,NA,NA,7.5,3,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Parker Jackson-Cartwright,New Zealand Breakers,NA,7.5,3.2,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Jaylen Adams,Sydney Kings,NA,7.5,5,NA,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Denzel Valentine,Sydney Kings,NA,7.5,6.2,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Gary Browne,South East Melbourne Phoenix,Cairns Taipans,9.5,8.75,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,South East Melbourne Phoenix,9.5,19,NA,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Taran Armstrong,Cairns Taipans,South East Melbourne Phoenix,4.5,2.1,1.6800000000000002,Neds
South East Melbourne Phoenix v Cairns Taipans,South East Melbourne Phoenix,Cairns Taipans,Player Assists,Gary Browne,South East Melbourne Phoenix,Cairns Taipans,5.5,2.1,1.7,Neds
Melbourne United v Perth Wildcats,Melbourne United,Perth Wildcats,Player Assists,Jaylen Adams,Sydney Kings,NA,4.5,1.85,1.9,Neds
