match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
New Zealand Breakers v Adelaide 36ers,2024-11-02T17:30:00Z,Head To Head,New Zealand Breakers,2.18,Adelaide 36ers,1.65,1.065,TopSport
Cairns Taipans v Brisbane Bullets,2024-11-02T20:00:00Z,Head To Head,Cairns Taipans,2.38,Brisbane Bullets,1.54,1.07,TopSport
South East Melbourne Phoenix v Perth Wildcats,2024-11-03T14:30:00Z,Head To Head,South East Melbourne Phoenix,1.96,Perth Wildcats,1.77,1.075,TopSport
Sydney Kings v Tasmania JackJumpers,2024-11-03T16:30:00Z,Head To Head,Sydney Kings,1.35,Tasmania JackJumpers,2.96,1.079,TopSport
