match,market_name,home_team,home_win,away_team,away_win,margin,agency
New Zealand Breakers v Melbourne United,Head To Head,New Zealand Breakers,NA,Melbourne United,NA,NA,Bet365
Cairns Taipans v Tasmania JackJumpers,Head To Head,Cairns Taipans,2.6,Tasmania JackJumpers,1.5,1.051,Bet365
Adelaide 36ers v South East Melbourne Phoenix,Head To Head,Adelaide 36ers,1.8,South East Melbourne Phoenix,2.02,1.051,Bet365
Illawarra Hawks v Perth Wildcats,Head To Head,Illawarra Hawks,2.25,Perth Wildcats,1.65,1.051,Bet365
