match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,4.5,1.08,BetRight,54040760,Wesley Iwundu 5+,1,294797078,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,7.5,1.36,BetRight,54040760,Wesley Iwundu 8+,2,294797079,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,9.5,1.78,BetRight,54040760,Wesley Iwundu 10+,3,294797080,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,11.5,2.4,BetRight,54040760,Wesley Iwundu 12+,4,294797081,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Wesley Iwundu,NA,14.5,4.6,BetRight,54040760,Wesley Iwundu 15+,5,294797082,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,17.5,1.13,BetRight,54040761,Nathan Sobey 18+,1,294797083,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,19.5,1.25,BetRight,54040761,Nathan Sobey 20+,2,294797084,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,24.5,1.8,BetRight,54040761,Nathan Sobey 25+,3,294797085,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,29.5,3.1,BetRight,54040761,Nathan Sobey 30+,4,294797086,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Nathan Sobey,South East Melbourne Phoenix,34.5,6.75,BetRight,54040761,Nathan Sobey 35+,5,294797087,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Joseph Lual-Acuil,NA,9.5,1.08,BetRight,54040762,Joseph Lual-Acuil 10+,1,294797088,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Joseph Lual-Acuil,NA,11.5,1.2,BetRight,54040762,Joseph Lual-Acuil 12+,2,294797089,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Joseph Lual-Acuil,NA,14.5,1.53,BetRight,54040762,Joseph Lual-Acuil 15+,3,294797090,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Joseph Lual-Acuil,NA,17.5,2.2,BetRight,54040762,Joseph Lual-Acuil 18+,4,294797091,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Joseph Lual-Acuil,NA,19.5,3,BetRight,54040762,Joseph Lual-Acuil 20+,5,294797092,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Eli Pepper,NA,7.5,1.18,BetRight,54040763,Eli Pepper 8+,1,294797093,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Eli Pepper,NA,9.5,1.42,BetRight,54040763,Eli Pepper 10+,2,294797094,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Eli Pepper,NA,11.5,1.8,BetRight,54040763,Eli Pepper 12+,3,294797095,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Eli Pepper,NA,14.5,2.8,BetRight,54040763,Eli Pepper 15+,4,294797096,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Eli Pepper,NA,17.5,4.75,BetRight,54040763,Eli Pepper 18+,5,294797097,NA
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Dylan Windler,Perth Wildcats,7.5,1.14,BetRight,54040764,Dylan Windler 8+,1,294797098,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Dylan Windler,Perth Wildcats,9.5,1.3,BetRight,54040764,Dylan Windler 10+,2,294797099,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Dylan Windler,Perth Wildcats,11.5,1.6,BetRight,54040764,Dylan Windler 12+,3,294797100,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Dylan Windler,Perth Wildcats,14.5,2.38,BetRight,54040764,Dylan Windler 15+,4,294797101,South East Melbourne Phoenix
South East Melbourne Phoenix v Perth Wildcats,South East Melbourne Phoenix,Perth Wildcats,Player Points,Dylan Windler,Perth Wildcats,17.5,4.1,BetRight,54040764,Dylan Windler 18+,5,294797102,South East Melbourne Phoenix
