player_id,player_name,player_first_name,player_last_name,player_team,player_team_id,previous_games,previous_average,previous_total,locked,active,played_status,supercoach_price,points,games,minutes_played,total_rebouds,total_assists,total_steals,total_blocks,total_turnovers,supercoach_position_1,injury_suspension_status,injury_suspension_status_text,supercoach_position_2
28,Jack Purchase,Jack,Purchase,Brisbane Bullets,4,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,9,2,6,0,-6,FWD,PlayingNextRound,Selected in starting line up,NA
29,Tohi Smith-Milner,Tohi,Smith-Milner,Brisbane Bullets,4,27,9.3,251,FALSE,TRUE,Yet to play,99500,0,0,0,30,30,12,0,-12,FWD,Injury,Finger. Expected to be available for Round 11.,NA
30,Kyle Adnam,Kyle,Adnam,Cairns Taipans,8,24,10.38,249,FALSE,TRUE,Yet to play,72300,0,0,0,9,30,0,0,-24,GRD,NA,NA,NA
31,Kyrin Galloway,Kyrin,Galloway,Cairns Taipans,8,28,15.43,432,FALSE,TRUE,Yet to play,160700,0,0,0,63,20,15,27,-10,FWD,NA,NA,NA
32,Ashton *** Hagans,Ashton,*** Hagans,Cairns Taipans,8,0,0,0,FALSE,FALSE,Yet to play,277000,0,0,0,0,0,0,0,0,GRD,NA,NA,NA
33,Alex Higgins-Titsha,Alex,Higgins-Titsha,Cairns Taipans,8,18,13.11,236,FALSE,TRUE,Yet to play,177100,0,0,0,41,18,27,18,-18,FWD,Injury,Wrist. Out for season.,NA
34,Marcus Lee,Marcus,Lee,Cairns Taipans,8,26,19.27,501,FALSE,TRUE,Yet to play,215900,0,0,0,82,36,21,42,-30,CTR,NA,NA,NA
35,Mawot Mag,Mawot,Mag,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,87200,0,0,0,17,4,12,3,-4,FWD,NA,NA,NA
36,Jack McVeigh,Jack,McVeigh,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,331200,0,0,0,62,94,9,15,-38,FWD,NA,NA,NA
37,Lloyd McVeigh,Lloyd,McVeigh,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,5,0,0,0,-4,GRD,NA,NA,NA
38,Jed Richardson,Jed,Richardson,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,58500,0,0,0,1,0,0,0,0,FWD,NA,NA,NA
39,Admiral Schofield,Admiral,Schofield,Cairns Taipans,8,0,0,0,FALSE,TRUE,Yet to play,201500,0,0,0,60,40,9,9,-68,FWD,NA,NA,GRD
